Composition,Volume (nm^3),rA (Å),rB (Å),rA/rB,xO48f,Lattice constant (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),ρmea (g/cm3),ρcal (g/cm3),Relative density,Direct Band Gap,Indirect Band Gap,Phase,Method,Bulk Modulus (GPa),Shear Modulus (GPa),Vickers Hardness (GPa),Young's Modulus (GPa),Fracture Toughness (Mpa*m^.5),Thermal Expansion (K^-1),Thermal Expansion at high temp,Thermal Conductivity (W/mK),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),Activation Energy (eV),Poissons Ratio,Mole Mass (g/mol),Sintering process,Source DOI,Source Title,Year,,,,
La2(Zn0.2Yb0.2Ti0.2Nb0.2W0.2)2O7,,,,1.68,,,14.77,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.068,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Zn0.2Yb0.2Nb0.2Ta0.2Sb0.2)2O7,,,,1.66,,,13.9,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.069,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Zn0.2Ti0.2Zr0.2Hf0.2W0.2)2O7,,,,1.72,,,8.89,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.070,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Zn0.2Ce0.2Zr0.2Nb0.2Ta0.2)2O7,,,,1.61,,,11.7,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.071,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Yb0.2Y0.2Ga0.2Nb0.2W0.2)2O7,,,,1.6,,,17.96,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.072,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Yb0.2Y0.2Ti0.2Zr0.2W0.2)2O7,,,,1.57,,,17.15,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.073,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Yb0.2Y0.2Ti0.2Nb0.2Ta0.2)2O7,,,,1.59,,,17.29,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.074,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Yb0.2Zr0.2Ti0.2Sn0.2Nb0.2)2O7,,,,1.65,,,12.89,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.075,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Zr0.2Ti0.2Ce0.2Hf0.2Sn0.2)2O7,,,,1.61,,,11.92,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.076,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Zn0.2Yb0.2Zr0.2Nb0.2W0.2)2O7,,,,,,,12.99,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.077,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Yb0.2Y0.2Zr0.2Nb0.2Ta0.2)2O7,,,,,,10.8308,14.71,,,,6.7,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.078,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Yb0.2Zr0.2Hf0.2Sn0.2Nb0.2)2O7,,,,,,10.8104,10.52,,,,6.85,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.079,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
Y2(Zr0.2Ti0.2Ge0.2Hf0.2Sn0.2)2O7,,,,,,10.2581,11.19,,,,6.07,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.080,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Yb0.15Zr0.3Ti0.1Sn0.3Nb0.15)2O7,,,,,,10.7655,10.67,,,,6.44,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.081,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(Zr0.3Ti0.1Ce0.1Hf0.2Sn0.3)2O7,,,,,,10.7713,8.66,,,,6.64,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.05.082,Design and synthesis of high-entropy pyrochlore ceramics based on valence combination ,2025,,,,
La2(ZnMgZrWMo)2O7,,,0.674,,,,,,,,,,,,P,,,,,,,,13.9,1.15*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jallcom.2022.166635  ,Synthesis of high-entropy La2B2O7 ceramics with non-equivalent principal elements in B-sites and their CMAS resistance performance ,2022,,,,
La2(ZnMgHfWMo)2O7,,,0.672,,,,,,,,,,,,P,,,,,,,,13.3*,1.28*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jallcom.2022.166635  ,Synthesis of high-entropy La2B2O7 ceramics with non-equivalent principal elements in B-sites and their CMAS resistance performance ,2022,,,,
La2(ZnMgSnWMo)2O7,,,0.668,,,,,,,,,,,,P,,,,,,,,12.5*,1.24*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jallcom.2022.166635  ,Synthesis of high-entropy La2B2O7 ceramics with non-equivalent principal elements in B-sites and their CMAS resistance performance ,2022,,,,
La2(ZnMgCeWMo)2O7,,,0.704,,,,,,,,,,,,F,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jallcom.2022.166635  ,Synthesis of high-entropy La2B2O7 ceramics with non-equivalent principal elements in B-sites and their CMAS resistance performance ,2022,,,,
La2(ZnMgTiWMo)2O7,,,0.651,,,,,,,,,,,,M,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jallcom.2022.166635  ,Synthesis of high-entropy La2B2O7 ceramics with non-equivalent principal elements in B-sites and their CMAS resistance performance ,2022,,,,
La2(ZnNiTiWMo)2O7,,,0.645,,,,,,,,,,,,M,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jallcom.2022.166635  ,Synthesis of high-entropy La2B2O7 ceramics with non-equivalent principal elements in B-sites and their CMAS resistance performance ,2022,,,,
Y2(Zr1/6Ti1/3Ge1/6Hf1/12Sn1/4)2O7,,,,1.59,,10.26,10.48,,0.44,3.89,5.73,,,,P,,,,,,,,,1.68,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2024.03.369  ,"Thermodynamic calculation, preparation and properties of Y2(Zr1/6Ti1/3Ge1/6Hf1/12Sn1/4)2O7 high-entropy pyrochlore ceramics ",2024,,,,
Y2(Zr1/6Ti1/3Ge1/6Hf1/12Sn1/4)2O7,,,,1.59,,10.26,10.48,32.11,0.44,3.89,5.73,,,,P,,,,,,,,,0.9526,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2024.03.369  ,"Thermodynamic calculation, preparation and properties of Y2(Zr1/6Ti1/3Ge1/6Hf1/12Sn1/4)2O7 high-entropy pyrochlore ceramics ",2024,,,,
Y2(Zr1/3Ti1/6Ge1/4Hf1/6Sn1/12)2O7,,,,1.57,,,12.23,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2024.03.369  ,"Thermodynamic calculation, preparation and properties of Y2(Zr1/6Ti1/3Ge1/6Hf1/12Sn1/4)2O7 high-entropy pyrochlore ceramics ",2024,,,,
Y2Ti2O7,,,,,,10.06,,,,3.67,5.03,,,,SP,,,,,,,,,3.05,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2024.03.369  ,"Thermodynamic calculation, preparation and properties of Y2(Zr1/6Ti1/3Ge1/6Hf1/12Sn1/4)2O7 high-entropy pyrochlore ceramics ",2024,,,,
(La0.2Gd0.2Y0.2Yb0.2Er0.2)2(Zr0.5Ti0.5)2O7,,,,,,10.377,,,,6.33,6.44,,,,P,,,,,,,,,1.2,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2024.03.369  ,"Thermodynamic calculation, preparation and properties of Y2(Zr1/6Ti1/3Ge1/6Hf1/12Sn1/4)2O7 high-entropy pyrochlore ceramics ",2024,,,,
Sm2(Nb0.2Sn0.2Ti0.2Y0.2Zr0.2)2O7,,,,,,10.464,,,,,6.83,,,,P,,,,,,,,,1.35,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2024.03.369  ,"Thermodynamic calculation, preparation and properties of Y2(Zr1/6Ti1/3Ge1/6Hf1/12Sn1/4)2O7 high-entropy pyrochlore ceramics ",2024,,,,
Y2(Ti0.25Zr0.25Hf0.25Ta0.25)2O7,,,,,,10.333,,,,6.45,6.5,,,,P,,,,,,,,,1.8,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2024.03.369  ,"Thermodynamic calculation, preparation and properties of Y2(Zr1/6Ti1/3Ge1/6Hf1/12Sn1/4)2O7 high-entropy pyrochlore ceramics ",2024,,,,
(Sm1/4Eu1/4Gd1/4Yb1/4)2(Ti1/2Hf1/4Zr1/4)2O7,,,,1.585*,,10.333*,,,,,,,,,P,,,,,237.0*,,,,1.35*,,,,,,,10.1016/j.actamat.2021.116858 ,Single-phase duodenary high-entropy fluorite/pyrochlore oxides with an order-disorder transition ,2021,,,,
[(Sm1/4Eu1/4Gd1/4Yb1/4)2(Ti1/2Hf1/4Zr1/4)2O7]0.98[(Sc0.266Dy0.248Tm0.246Yb0.240)3NbO7]0.02,,,,1.582*,,10.332*,,,,,,,,,P,,,,,241.0*,,,,1.34*,,,,,,,10.1016/j.actamat.2021.116858 ,Single-phase duodenary high-entropy fluorite/pyrochlore oxides with an order-disorder transition ,2021,,,,
[(Sm1/4Eu1/4Gd1/4Yb1/4)2(Ti1/2Hf1/4Zr1/4)2O7]0.90[(Sc0.266Dy0.248Tm0.246Yb0.240)3NbO7]0.10,,,,1.572*,,10.332*,,,,,,,,,P,,,,,237.5*,,,,1.31*,,,,,,,10.1016/j.actamat.2021.116858 ,Single-phase duodenary high-entropy fluorite/pyrochlore oxides with an order-disorder transition ,2021,,,,
[(Sm1/4Eu1/4Gd1/4Yb1/4)2(Ti1/2Hf1/4Zr1/4)2O7]0.75[(Sc0.266Dy0.248Tm0.246Yb0.240)3NbO7]0.25,,,,1.552*,,10.333*,,,,,,,,,P,,,,,235.0*,,,,1.31*,,,,,,,10.1016/j.actamat.2021.116858 ,Single-phase duodenary high-entropy fluorite/pyrochlore oxides with an order-disorder transition ,2021,,,,
[(Sm1/4Eu1/4Gd1/4Yb1/4)2(Ti1/2Hf1/4Zr1/4)2O7]0.50[(Sc0.266Dy0.248Tm0.246Yb0.240)3NbO7]0.50,,,,1.520*,,10.332*,,,,,,,,,P,,,,,229.0*,,,,1.29*,,,,,,,10.1016/j.actamat.2021.116858 ,Single-phase duodenary high-entropy fluorite/pyrochlore oxides with an order-disorder transition ,2021,,,,
[(Sm1/4Eu1/4Gd1/4Yb1/4)2(Ti1/2Hf1/4Zr1/4)2O7]0.25[(Sc0.266Dy0.248Tm0.246Yb0.240)3NbO7]0.75,,,,1.490*,,10.331*,,,,,,,,,P,,,,,223.0*,,,,1.29*,,,,,,,10.1016/j.actamat.2021.116858 ,Single-phase duodenary high-entropy fluorite/pyrochlore oxides with an order-disorder transition ,2021,,,,
[(Sm1/4Eu1/4Gd1/4Yb1/4)2(Ti1/2Hf1/4Zr1/4)2O7]0.10[(Sc0.266Dy0.248Tm0.246Yb0.240)3NbO7]0.90,,,,1.472*,,10.327*,,,,,,,,,DF,,,,,217.0*,,,,1.26*,,,,,,,10.1016/j.actamat.2021.116858 ,Single-phase duodenary high-entropy fluorite/pyrochlore oxides with an order-disorder transition ,2021,,,,
[(Sm1/4Eu1/4Gd1/4Yb1/4)2(Ti1/2Hf1/4Zr1/4)2O7]0.02[(Sc0.266Dy0.248Tm0.246Yb0.240)3NbO7]0.98,,,,1.462*,,10.326*,,,,,,,,,DF,,,,,216.5*,,,,1.26*,,,,,,,10.1016/j.actamat.2021.116858 ,Single-phase duodenary high-entropy fluorite/pyrochlore oxides with an order-disorder transition ,2021,,,,
(Sc0.266Dy0.248Tm0.246Yb0.240)3NbO7,,,,1.460*,,10.326*,,,,,,,,,DF,,,,,214.5*,,,,1.25*,,,,,,,10.1016/j.actamat.2021.116858 ,Single-phase duodenary high-entropy fluorite/pyrochlore oxides with an order-disorder transition ,2021,,,,
[(Sm1/4Eu1/4Gd1/4Yb1/4)2(Ti0.611Hf0.166Zr0.223)2]0.5[(Sc0.333Dy0.226Tm0.224Yb0.218)3Nb]0.5O7,,,,1.528*,,10.295*,,,,,,,,,P,,,,,234.0*,,,,1.34*,,,,,,,10.1016/j.actamat.2021.116858 ,Single-phase duodenary high-entropy fluorite/pyrochlore oxides with an order-disorder transition ,2021,,,,
[(Sm1/4Eu1/4Gd1/4Yb1/4)2(Ti0.065Hf0.234Zr0.701)2]0.5[(Y0.266Dy0.248Tm0.246Yb0.240)3Nb]0.5O7,,,,1.490*,,10.467*,,,,,,,,,DF,,,,,247.0*,,,,1.36*,,,,,,,10.1016/j.actamat.2021.116858 ,Single-phase duodenary high-entropy fluorite/pyrochlore oxides with an order-disorder transition ,2021,,,,
(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,,,,,,10.627*,,28.9,,,6.554,71.4,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1007/s40145-019-0342-4  ,High-entropy pyrochlores with low thermal conductivity for thermal barrier coating materials ,2019,,,,
(Y0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,,,,,,10.555*,,20,,,6.461,79.8,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1007/s40145-019-0342-4  ,High-entropy pyrochlores with low thermal conductivity for thermal barrier coating materials ,2019,,,,
(La0.2Y0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,,,,,,10.558*,,23.5,,,6.427,76.5,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1007/s40145-019-0342-4  ,High-entropy pyrochlores with low thermal conductivity for thermal barrier coating materials ,2019,,,,
(La0.2Nd0.2Y0.2Eu0.2Gd0.2)2Zr2O7,,,,,,10.573*,,23.7,,,6.379,74,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1007/s40145-019-0342-4  ,High-entropy pyrochlores with low thermal conductivity for thermal barrier coating materials ,2019,,,,
(La0.2Nd0.2Sm0.2Y0.2Gd0.2)2Zr2O7,,,,,,10.590*,,22.8,,,6.341,73.9,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1007/s40145-019-0342-4  ,High-entropy pyrochlores with low thermal conductivity for thermal barrier coating materials ,2019,,,,
(La0.2Nd0.2Sm0.2Eu0.2Y0.2)2Zr2O7,,,,,,10.596*,,25.4,,,6.308,73.2,,,P,,,,,,,,,,,,,,,,https://doi.org/10.1007/s40145-019-0342-4  ,High-entropy pyrochlores with low thermal conductivity for thermal barrier coating materials ,2019,,,,
La2Zr2O7,,,,1.61,,,0,,,,,95.5,,,P,,,,,236.2 ± 6.7,,,,2.14 ± 0.06,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
Sm2Zr2O7,,,,1.5,,,0,,,,,100,,,P,,,,,220.1 ± 3.0,,,,2.04 ± 0.06,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
La2(Hf1/2Zr1/2)2O7,,,,1.62,,,0.7,,,,,98.1,,,P,,,,,250.2 ± 4.2,,,,2.29 ± 0.06,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,,,,1.58,,,6.65,,,,,97.7,,,P,,,,,250.2 ± 4.7,,,,1.73 ± 0.05,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,,,,1.55,,,6.65,,,,,96.2,,,P,,,,,229.4 ± 4.4,,,,1.58 ± 0.05,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(Sm1/2Gd1/2)2(Ti1/3Hf1/3Zr1/3)2O7,,,,1.57,,,7.76,,,,,97.9,,,P,,,,,242.0 ± 4.2,,,,1.47 ± 0.04,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(Eu1/2Gd1/2)2(Ti1/3Hf1/3Zr1/3)2O7,,,,1.56,,,7.69,,,,,97.5,,,P,,,,,243.1 ± 4.0,,,,1.52 ± 0.05,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(La1/2Pr1/2)2(Sn1/3Hf1/3Zr1/3)2O7,,,,1.62,,,2.31,,,,,94.8,,,P,,,,,275.5 ± 7.9,,,,2.24 ± 0.07,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(Eu1/2Gd1/2)2(Sn1/3Hf1/3Zr1/3)2O7,,,,1.5,,,1.87,,,,,93.5,,,P,,,,,253.3 ± 4.3,,,,2.24 ± 0.07,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(La1/3Pr1/3Nd1/3)2(Hf1/2Zr1/2)2O7,,,,1.58,,,2,,,,,96.5,,,P,,,,,240.0 ± 4.3,,,,2.16 ± 0.06,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(Sm1/3Eu1/3Gd1/3)2(Hf1/2Zr1/2)2O7,,,,1.49,,,1.22,,,,,97.9,,,P,,,,,235.7 ± 3.8,,,,1.97 ± 0.06,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(Sm1/3Eu1/3Gd1/3)2(Sn1/3Hf1/3Zr1/3)2O7,,,,1.51,,,2.03,,,,,93.8,,,P,,,,,256.7 ± 4.1,,,,2.21 ± 0.07,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(Sm1/3Eu1/3Gd1/3)2(Ti1/4Sn1/4Hf1/4Zr1/4)2O7,,,,1.56,,,6.73,,,,,96.4,,,P,,,,,260.4 ± 5.0,,,,1.67 ± 0.05,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(Sm1/4Eu1/4Gd1/4Yb1/4)2(Ti1/4Sn1/4Hf1/4Zr1/4)2O7,,,,1.54,,,7.5,,,,,98.1 ± 0.6,,,P,,,,,249.4 ± 4.0,,,,1.45 ± 0.04,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(Sm1/3Eu1/3Gd1/3)2(Ti1/2Sn1/6Hf1/6Zr1/6)2O7,,,,1.63,,,7.93,,,,,94.9 ± 0.6,,,P,,,,,280.1 ± 6.2,,,,1.71 ± 0.05,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(Sm1/3Eu1/3Gd1/3)2(Ti3/4Sn1/12Hf1/12Zr1/12)2O7,,,,1.69,,,7.12,,,,,94.6 ± 0.6,,,P,,,,,273.6 ± 5.3,,,,1.90 ± 0.06,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(Sm1/3Eu1/3Gd1/3)2Ti2O7,,,,1.76,,,1,,,,,94.1 ± 0.6,,,P,,,,,281.3 ± 5.0,,,,2.88 ± 0.09,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(Sm1/4Eu1/4Gd1/4Yb1/4)2(Ti1/2Hf1/4Zr1/4)2O7,,,,1.58,,,9.04,,,,,97.8 ± 0.6,,,P,,,,,238.3 ± 2.5,,,,1.36 ± 0.04,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(Sm3/4Yb1/4)2(Ti1/2Zr1/2)2O7,,,,1.59,,,9.5,,,,,98.8 ± 0.6,,,P,,,,,227.7 ± 2.5,,,,1.40 ± 0.04,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(La1/5Ce1/5Nd1/5Sm1/5Eu1/5)2Zr2O7,,,,1.54,,,3.24,,,,,99.1 ± 0.7,,,P,,,,,230.6 ± 2.9,,,,2.06 ± 0.06,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(La1/7Ce1/7Pr1/7Nd1/7Sm1/7Eu1/7Gd1/7)2(Hf1/2Zr1/2)2O7,,,,1.55,,,3.46,,,,,98.6 ± 0.6,,,P,,,,,242.0 ± 3.5,,,,1.97 ± 0.06,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
(La1/7Ce1/7Pr1/7Nd1/7Sm1/7Eu1/7Gd1/7)2(Sn1/3Hf1/3Zr1/3)2O7,,,,1.56,,,3.82,,,,,98.7 ± 0.7,,,P,,,,,187.0 ± 5.0,,,,2.02 ± 0.06,,,,,,,10.1016/j.scriptamat.2020.02.011 ,Size disorder as a descriptor for predicting reduced thermal conductivity in medium- and high-entropy pyrochlore oxides ,2020,,,,
Gd2Ti2O7,,,,1.7405,,10.1612,,,0.628 ± 0.271,6.42,6.6135,,,,P,,,,12.21,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.vacuum.2024.113893  ,Synthesis and irradiation behavior of (Gd0.2Sm0.2Dy0.2Er0.2Yb0.2)2Ti2O7 high-entropy pyrochlore waste forms consolidated by spark plasma sintering ,2024,,,,
(Gd0.2Sm0.2Dy0.2Er0.2Yb0.2)2Ti2O7,,,,1.72,,10.1174,,,0.564 ± 0.170,6.66,6.8229,,,,P,,,,12.68,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.vacuum.2024.113893  ,Synthesis and irradiation behavior of (Gd0.2Sm0.2Dy0.2Er0.2Yb0.2)2Ti2O7 high-entropy pyrochlore waste forms consolidated by spark plasma sintering ,2024,,,,
Gd2Zr2O7,,,,1.4645,,5.26609(45),,1.54#,8.11,6.82,6.9265,98.46,,,DF,,,,12.95,231.21,1.054,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.12.035  ,Reactive spark plasma sintering of high-entropy (La1/7Nd1/7Sm1/7Eu1/7Gd1/7Dy1/7Ho1/7)2Zr2O7 pyrochlore ceramic ,2023,,,,
(La1/7Nd1/7Sm1/7Eu1/7Gd1/7Dy1/7Ho1/7)2Zr2O7,,,,1.4899,,10.58593(39),,2.28#,1.45,6.57,6.7236,97.72,,,P,,,,11.56,225.01,1.152,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.12.035  ,Reactive spark plasma sintering of high-entropy (La1/7Nd1/7Sm1/7Eu1/7Gd1/7Dy1/7Ho1/7)2Zr2O7 pyrochlore ceramic ,2023,,,,
(La0.1Sm0.2Gd0.2Er0.2Lu0.3)2Zr2O7,,1.036,,1.439,,,,,,,,98,,,F,,,,,,,,,1.90*,0.51*,0.56*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2024.03.018  ,Improved thermal properties and CMAS corrosion resistance of high-entropy RE zirconates by tuning fluorite-pyrochlore structure ,2024,,,,
(La0.2Sm0.2Gd0.2Er0.2Lu0.2)2Zr2O7,,1.055,,1.465,,,,,,,,96.43,,,F+P,,,,,,,,,1.47*,0.42*,0.53*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2024.03.018  ,Improved thermal properties and CMAS corrosion resistance of high-entropy RE zirconates by tuning fluorite-pyrochlore structure ,2024,,,,
(La0.3Sm0.2Gd0.2Er0.2Lu0.1)2Zr2O7,,1.073,,1.49,,,,,,,,98.51,,,F+P,,,,,,,,,1.34*,0.41*,0.49*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2024.03.018  ,Improved thermal properties and CMAS corrosion resistance of high-entropy RE zirconates by tuning fluorite-pyrochlore structure ,2024,,,,
(La0.3Sm0.35Gd0.15Er0.1Lu0.1)2Zr2O7,,1.082,,1.502,,,,,,,,97.24,,,F+P,,,,,,,,,1.69*,0.45*,0.59*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2024.03.018  ,Improved thermal properties and CMAS corrosion resistance of high-entropy RE zirconates by tuning fluorite-pyrochlore structure ,2024,,,,
(La0.2Sm0.2Gd0.2Dy0.2Tm0.2)2Ti2O7,,,,,,,,,,,,,,,P,,,,9.02*,272.9#,,,,2.05,0.42*,0.73*,,,,,https://doi.org/10.1016/j.oceram.2024.100723  ,Microstructure and thermal-mechanical evolution of high-entropy pyrochlore (A2B2O7) with dual crystalline phase ,2024,,,,
(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Ti2O7,,,,,,,,,,,,,,,P,,,,7.85*,250.4#,,,,2.2,0.43*,0.77*,,,,,https://doi.org/10.1016/j.oceram.2024.100723  ,Microstructure and thermal-mechanical evolution of high-entropy pyrochlore (A2B2O7) with dual crystalline phase ,2024,,,,
La2Zr2O7,,1.611,,,,10.808,0,,,,,,,,P,,,,,,,,,,,,,,,,10.1016/j.jmst.2021.08.018 ,Principal element design of pyrochlore-fluorite dual-phase medium- and high-entropy ceramics ,2021,,,,
